"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"294",1977,"3A ",250,"F",16,"length",165,0,1,0
"295",1977,"3A ",250,"M",7,"length",52,0,1,0
"296",1977,"3A ",250,"M",8,"length",64.5,2.12132034355964,2,1.5
"297",1977,"3A ",250,"M",10,"length",99,0,1,0
"298",1977,"3A ",250,"M",12,"length",84,0,1,0
"299",1977,"3A ",250,"M",18,"length",111,0,1,0
"300",1977,"3A ",260,"F",7,"length",74,8.66025403784439,3,5
"301",1977,"3A ",260,"F",8,"length",96,8.48528137423857,2,6
"302",1977,"3A ",260,"F",9,"length",114.5,13.7719521734091,4,6.88597608670453
"303",1977,"3A ",260,"F",10,"length",72,0,1,0
"304",1977,"3A ",260,"F",11,"length",144,8.48528137423857,2,6
"305",1977,"3A ",260,"F",12,"length",144,0,1,0
"306",1977,"3A ",260,"F",16,"length",157,0,1,0
"307",1977,"3A ",260,"M",7,"length",65,0,1,0
"308",1977,"3A ",260,"M",9,"length",74,0,1,0
"309",1977,"3A ",260,"M",10,"length",98,0,1,0
"310",1977,"3A ",260,"M",11,"length",85,0,1,0
"311",1977,"3A ",270,"F",7,"length",90.6666666666667,4.16333199893227,3,2.40370085030933
"312",1977,"3A ",270,"F",9,"length",84,22.6274169979695,2,16
"313",1977,"3A ",270,"F",10,"length",102,0,1,0
"314",1977,"3A ",270,"F",15,"length",139,0,1,0
"315",1977,"3A ",270,"M",11,"length",117,0,1,0
"316",1977,"3A ",280,"F",7,"length",95,19.9749843554382,3,11.5325625946708
"317",1977,"3A ",280,"F",8,"length",88.5,13.4350288425444,2,9.5
"318",1977,"3A ",280,"F",9,"length",115,0,1,0
"319",1977,"3A ",280,"F",10,"length",122.333333333333,8.08290376865476,3,4.66666666666667
"320",1977,"3A ",280,"F",14,"length",142,0,1,0
"321",1977,"3A ",280,"M",7,"length",76,0,1,0
"322",1977,"3A ",280,"M",8,"length",69.5,14.8492424049175,2,10.5
"323",1977,"3A ",280,"M",9,"length",95.5,27.5771644662754,2,19.5
"324",1977,"3A ",280,"M",10,"length",90,0,1,0
"325",1977,"3A ",280,"M",11,"length",97.5,27.5771644662754,2,19.5
"326",1977,"3A ",280,"M",14,"length",142,0,1,0
"327",1978,"2B ",91,"F",7,"length",116,0,1,0
"328",1978,"2B ",91,"F",17,"length",148,0,1,0
"329",1978,"2B ",102,"F",17,"length",174,0,1,0
"330",1978,"2B ",102,"M",14,"length",89,0,1,0
"331",1978,"2B ",102,"M",15,"length",97,0,1,0
"332",1978,"2B ",112,"F",8,"length",112,0,1,0
"333",1978,"2B ",112,"F",13,"length",152.5,13.4350288425444,2,9.5
"334",1978,"2B ",112,"M",16,"length",96,0,1,0
"335",1978,"2B ",132,"M",7,"length",71,0,1,0
"336",1978,"2B ",133,"F",9,"length",84,0,1,0
"337",1978,"3A ",250,"F",8,"length",108,0,1,0
"338",1978,"3A ",250,"F",13,"length",140,0,1,0
"339",1978,"3A ",250,"M",7,"length",70,0,1,0
"340",1978,"3A ",250,"M",8,"length",70.6666666666667,5.68624070307733,3,3.2829526005987
"341",1978,"3A ",250,"M",9,"length",86.5,7.77817459305202,2,5.5
"342",1978,"3A ",260,"F",8,"length",70.5,0.707106781186548,2,0.5
"343",1978,"3A ",260,"F",16,"length",164,0,1,0
"344",1978,"3A ",260,"M",7,"length",60.5,2.12132034355964,2,1.5
"345",1978,"3A ",260,"M",8,"length",66,0,1,0
"346",1978,"3A ",260,"M",12,"length",132,0,1,0
"347",1978,"3A ",270,"F",8,"length",106.5,0.707106781186548,2,0.5
"348",1978,"3A ",270,"F",9,"length",109,0,1,0
"349",1978,"3A ",270,"F",11,"length",159,0,1,0
"350",1978,"3A ",270,"M",7,"length",70,0,1,0
"351",1978,"3A ",270,"M",8,"length",65,0,1,0
"352",1978,"3A ",280,"F",7,"length",81,0,1,0
"353",1978,"3A ",280,"F",8,"length",84,0,1,0
"354",1978,"3A ",280,"F",9,"length",95,0,1,0
"355",1978,"3A ",280,"F",10,"length",108.5,13.4350288425444,2,9.5
"356",1978,"3A ",280,"F",12,"length",162,15.556349186104,2,11
"357",1978,"3A ",280,"F",17,"length",172,0,1,0
"358",1978,"3A ",280,"M",7,"length",63,8.48528137423857,2,6
"359",1978,"3A ",280,"M",8,"length",103.5,4.94974746830583,2,3.5
"360",1978,"3A ",280,"M",9,"length",83.5,9.19238815542512,2,6.5
"361",1979,"3A ",250,"F",8,"length",77.5,2.12132034355964,2,1.5
"362",1979,"3A ",250,"F",9,"length",109,18.7882942280559,5,8.40238061504
"363",1979,"3A ",250,"F",10,"length",115,0,1,0
"364",1979,"3A ",250,"F",11,"length",131,0,1,0
"365",1979,"3A ",250,"F",12,"length",116,0,1,0
"366",1979,"3A ",250,"F",14,"length",140,0,1,0
"367",1979,"3A ",250,"F",16,"length",150,0,1,0
"368",1979,"3A ",250,"F",18,"length",184,0,1,0
"369",1979,"3A ",250,"M",7,"length",65.5,9,4,4.5
"370",1979,"3A ",250,"M",8,"length",81,19.7989898732233,2,14
"371",1979,"3A ",250,"M",9,"length",81,15.556349186104,2,11
"372",1979,"3A ",250,"M",11,"length",107,0,1,0
"373",1979,"3A ",250,"M",14,"length",123,0,1,0
"374",1979,"3A ",260,"F",7,"length",72,0,1,0
"375",1979,"3A ",260,"F",8,"length",101,0,1,0
"376",1979,"3A ",260,"F",9,"length",127,0,1,0
"377",1979,"3A ",260,"F",11,"length",87,0,1,0
"378",1979,"3A ",260,"F",12,"length",110,25.4558441227157,2,18
"379",1979,"3A ",260,"F",13,"length",153,0,1,0
"380",1979,"3A ",260,"F",14,"length",160,0,1,0
"381",1979,"3A ",260,"M",8,"length",100,0,1,0
"382",1979,"3A ",260,"M",9,"length",101,0,1,0
"383",1979,"3A ",260,"M",10,"length",111,0,1,0
"384",1979,"3A ",270,"F",7,"length",90.3333333333333,7.02376916856849,3,4.05517502019881
"385",1979,"3A ",270,"F",8,"length",94,0,1,0
"386",1979,"3A ",270,"F",9,"length",96,0,1,0
"387",1979,"3A ",270,"F",11,"length",135,0,1,0
"388",1979,"3A ",270,"F",13,"length",126,0,1,0
"389",1979,"3A ",270,"F",14,"length",156,0,1,0
"390",1979,"3A ",270,"M",7,"length",74,18.3847763108502,2,13
"391",1979,"3A ",270,"M",8,"length",85,0,1,0
"392",1979,"3A ",270,"M",9,"length",107,0,1,0
"393",1979,"3A ",270,"M",12,"length",77,0,1,0
"394",1979,"3A ",280,"F",8,"length",119,0,1,0
"395",1979,"3A ",280,"F",9,"length",90.5,4.94974746830583,2,3.5
"396",1979,"3A ",280,"F",10,"length",135,0,1,0
